code_set	code_value	code_category	description
Place Of Service	61	Significant Event	Comprehensive Inpatient Rehabilitation Facility
Place Of Service	56	Significant Event	Psychiatric Residential Treatment Center
Place Of Service	42	Significant Event	Ambulance - Air or Water
Place Of Service	41	Significant Event	Ambulance - Land
Place Of Service	31	Significant Event	Skilled Nursing Facility
Place Of Service	24	Significant Event	Ambulatory Surgical Center
Place Of Service	23	Significant Event	Emergency Room - Hospital
Place Of Service	21	Significant Event	Inpatient Hospital
Maintenance/Test	Inpatient	Significant Event	Inpatient Visit
Maintenance/Test	Emergency	Significant Event	Emergency Visit
CPT	99318	Significant Event	Annual nursing fac assessmnt
CPT	99316	Significant Event	Nursing fac discharge day
CPT	99315	Significant Event	Nursing fac discharge day
CPT	99310	Significant Event	Nursing fac care subseq
CPT	99309	Significant Event	Nursing fac care subseq
CPT	99308	Significant Event	Nursing fac care subseq
CPT	99307	Significant Event	Nursing fac care subseq
CPT	99306	Significant Event	Nursing facility care init
CPT	99305	Significant Event	Nursing facility care init
CPT	99304	Significant Event	Nursing facility care init
CPT	99288	Significant Event	Direct advanced life support
CPT	99285	Significant Event	Emergency dept visit
CPT	99284	Significant Event	Emergency dept visit
CPT	99283	Significant Event	Emergency dept visit
CPT	99282	Significant Event	Emergency dept visit
CPT	99281	Significant Event	Emergency dept visit
CPT	99239	Significant Event	Hospital discharge day
CPT	99238	Significant Event	Hospital discharge day
CPT	99233	Significant Event	Subsequent hospital care
CPT	99232	Significant Event	Subsequent hospital care
CPT	99231	Significant Event	Subsequent hospital care
CPT	99226	Significant Event	Subsequent observation care
CPT	99225	Significant Event	Subsequent observation care
CPT	99224	Significant Event	Subsequent observation care
CPT	99220	Significant Event	Initial observation care
CPT	99219	Significant Event	Initial observation care
CPT	99218	Significant Event	Initial observation care
CPT	99217	Significant Event	Observation care discharge
CPT	19499	Significant Event	Breast surgery procedure
CPT	19396	Significant Event	Design custom breast implant
CPT	19380	Significant Event	Revise breast reconstruction
CPT	19371	Significant Event	Removal of breast capsule
CPT	19370	Significant Event	Surgery of breast capsule
CPT	19369	Significant Event	Breast reconstruction
CPT	19368	Significant Event	Breast reconstruction
CPT	19367	Significant Event	Breast reconstruction
CPT	19366	Significant Event	Breast reconstruction
CPT	19364	Significant Event	Breast reconstruction
CPT	19361	Significant Event	Breast reconstr w/lat flap
CPT	19357	Significant Event	Breast reconstruction
CPT	19355	Significant Event	Correct inverted nipple(s)
CPT	19350	Significant Event	Breast reconstruction
CPT	19342	Significant Event	Delayed breast prosthesis
CPT	19340	Significant Event	Immediate breast prosthesis
CPT	19330	Significant Event	Removal of implant material
CPT	19328	Significant Event	Removal of breast implant
CPT	19325	Significant Event	Enlarge breast with implant
CPT	19324	Significant Event	Enlarge breast
CPT	19318	Significant Event	Reduction of large breast
CPT	19316	Significant Event	Suspension of breast
CPT	19307	Significant Event	Mast mod rad
CPT	19306	Significant Event	Mast rad urban type
CPT	19305	Significant Event	Mast radical
CPT	19304	Significant Event	Mast subq
CPT	19303	Significant Event	Mast simple complete
CPT	19302	Significant Event	P-mastectomy w/ln removal
CPT	19301	Significant Event	Partical mastectomy
CPT	19300	Significant Event	Removal of breast tissue
CPT	19298	Significant Event	Place breast rad tube/caths
CPT	19297	Significant Event	Place breast cath for rad
CPT	19296	Significant Event	Place po breast cath for rad
CPT	19295	Significant Event	Place breast clip percut
CPT	19291	Significant Event	Place needle wire breast
CPT	19290	Significant Event	Place needle wire breast
CPT	19288	Significant Event	Perq dev breast add mr guide
CPT	19287	Significant Event	Perq dev breast 1st mr guide
CPT	19286	Significant Event	Perq dev breast add us imag
CPT	19285	Significant Event	Perq dev breast 1st us imag
CPT	19284	Significant Event	Perq dev breast add strtctc
CPT	19283	Significant Event	Perq dev breast 1st strtctc
CPT	19282	Significant Event	Perq device breast ea imag
CPT	19281	Significant Event	Perq device breast 1st imag
CPT	19272	Significant Event	Extensive chest wall surgery
CPT	19271	Significant Event	Revision of chest wall
CPT	19260	Significant Event	Removal of chest wall lesion
CPT	19240	Significant Event	REMOVAL OF BREAST
CPT	19220	Significant Event	REMOVAL OF BREAST
CPT	19200	Significant Event	REMOVAL OF BREAST
CPT	19180	Significant Event	REMOVAL OF BREAST
CPT	19126	Significant Event	Excision addl breast lesion
CPT	19125	Significant Event	Excision breast lesion
CPT	19120	Significant Event	Removal of breast lesion
CPT	19112	Significant Event	Excise breast duct fistula
CPT	19110	Significant Event	Nipple exploration
CPT	19105	Significant Event	Cryosurg ablate fa each
CPT	19103	Significant Event	Bx breast percut w/device
CPT	19102	Significant Event	Bx breast percut w/image
CPT	19101	Significant Event	Biopsy of breast open
CPT	19100	Significant Event	Bx breast percut w/o image
CPT	19086	Significant Event	Bx breast add lesion mr imag
CPT	19085	Significant Event	Bx breast 1st lesion mr imag
CPT	19084	Significant Event	Bx breast add lesion us imag
CPT	19083	Significant Event	Bx breast 1st lesion us imag
CPT	19082	Significant Event	Bx breast add lesion strtctc
CPT	19081	Significant Event	Bx breast 1st lesion strtctc
CPT	19030	Significant Event	Injection for breast x-ray
CPT	19020	Significant Event	Incision of breast lesion
CPT	19001	Significant Event	Drain breast lesion add-on
CPT	19000	Significant Event	Drainage of breast lesion
CPT	17999	Significant Event	Skin tissue procedure
CPT	17380	Significant Event	Hair removal by electrolysis
CPT	17360	Significant Event	Skin peel therapy
CPT	17340	Significant Event	Cryotherapy of skin
CPT	17315	Significant Event	Mohs surg addl block
CPT	17314	Significant Event	Mohs addl stage t/a/l
CPT	17313	Significant Event	Mohs 1 stage t/a/l
CPT	17312	Significant Event	Mohs addl stage
CPT	17311	Significant Event	Mohs 1 stage h/n/hf/g
CPT	17286	Significant Event	Destruction of skin lesions
CPT	17284	Significant Event	Destruction of skin lesions
CPT	17283	Significant Event	Destruction of skin lesions
CPT	17282	Significant Event	Destruction of skin lesions
CPT	17281	Significant Event	Destruction of skin lesions
CPT	17280	Significant Event	Destruction of skin lesions
CPT	17276	Significant Event	Destruction of skin lesions
CPT	17274	Significant Event	Destruction of skin lesions
CPT	17273	Significant Event	Destruction of skin lesions
CPT	17272	Significant Event	Destruction of skin lesions
